set_size,run_1,run_2,run_3
0,0.0,0.0,0.0
1000,0.14162158966064453,0.12784433364868164,0.12037491798400879
2000,0.24385643005371094,0.2483367919921875,0.2522921562194824
3000,0.3805215358734131,0.39752197265625,0.408550500869751
4000,0.5186142921447754,0.5824623107910156,0.5201671123504639
5000,0.6577103137969971,0.6300797462463379,0.6223335266113281
6000,0.7477066516876221,0.80985426902771,0.770411491394043
7000,0.9031445980072021,0.8676002025604248,0.9210684299468994
8000,1.0558440685272217,1.322232961654663,1.082005500793457
9000,1.2206997871398926,1.1810860633850098,1.1840944290161133
10000,1.2460570335388184,1.356781244277954,1.2914395332336426
11000,1.4299185276031494,1.4598925113677979,1.4112985134124756
12000,1.5585360527038574,1.8456647396087646,1.6200370788574219
13000,1.696669578552246,1.655527114868164,1.626671314239502
14000,2.434156894683838,2.120208978652954,1.8351187705993652
15000,1.91739821434021,1.9323065280914307,1.9061577320098877
16000,2.072096347808838,2.0839569568634033,2.0906741619110107
17000,2.179030418395996,2.125758171081543,2.1912753582000732
18000,2.567735195159912,2.8364272117614746,2.8946731090545654
19000,2.6429920196533203,2.8926992416381836,2.6740589141845703
20000,2.6904497146606445,2.467608690261841,2.86429762840271
21000,3.202927827835083,2.706434726715088,2.6957337856292725
22000,2.8386662006378174,2.768082618713379,2.785597085952759
23000,3.088858127593994,2.9594030380249023,2.9131460189819336
24000,3.0497195720672607,3.053248643875122,3.010568857192993
25000,3.0323314666748047,3.0893819332122803,3.1914563179016113
26000,3.333132743835449,3.2595510482788086,3.235849380493164
27000,3.5578112602233887,4.315990209579468,3.6352834701538086
28000,3.824012279510498,3.63887882232666,3.578315496444702
29000,3.7752528190612793,3.693072557449341,3.763544797897339
30000,3.797614812850952,3.894158363342285,3.9770615100860596
31000,4.1283278465271,4.915314435958862,4.1402106285095215
32000,4.141085386276245,4.924803018569946,4.099640846252441
33000,4.343008756637573,5.2792487144470215,4.551085472106934
34000,4.589353561401367,4.552934646606445,4.693786144256592
35000,4.807965517044067,4.827332258224487,5.245611190795898
36000,4.932509183883667,4.988056182861328,4.90419864654541
37000,5.52489709854126,5.689970016479492,5.5182647705078125
38000,5.540152311325073,5.07397198677063,5.062854766845703
39000,5.213356971740723,5.581627130508423,6.048023700714111
